Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column,States,Counties
ARCARE,AR,KENSENT,40,579,360,,,
CITY OF PAGE,AZ,PAGE,0,1060,0,POINT (-111.456174 36.910943),7,986
HOMETOWN NURSING,CA,BERKELEY,200,150,0,POINT (-122.270455 37.869058),8,1141
IMMUNO ONCOLOGY CLINIC,CA,IRVINE,1560,0,12640,POINT (-117.824719 33.685908),8,1174
HCAHEALTHONE LLC,CO,ENGLEWOOD,0,13388,0,POINT (-104.98891 39.649436),9,1395
ALACHUA PHARMACY INC,FL,ALACHUA,0,0,19137,POINT (-82.494317 29.796737),30,1050
ST CLOUD HMA PHYSICIAN,FL,SAINT CLOUD,23,77,0,,,
AGAPEMD LLC,FL,TAVERNIER,0,0,40,POINT (-80.513101 25.013137),,
CASWELL COUNTY HEALTH,GA,PROVIDENCE,0,6589,0,,,
HUMAYUNS SC,IL,CHICAGO,0,6331,0,POINT (-87.632398 41.883229),34,1863
EXAM CORP,IL,NILES,119139,0,0,POINT (-87.800711 42.026123),34,1863
CITY OF ELWOOD,IN,ELWOOD,0,370,0,POINT (-85.841925 40.276983),35,159
DUSONS CASHWAY PHARMAC,LA,DUSON,0,0,7322,POINT (-92.182625 30.236643),22,1629
CLINICORE,LA,MANDEVILLE,45311,0,0,POINT (-90.062471 30.362171),22,1740
JOHNS HOPKINS UNIVERSI,MD,FORT HOWARD,0,82,0,,,
RESULTSLAB,MD,JOPPA,69712,0,0,,,
ROCHESTER GOLD CROSS A,MN,AUSTIN,0,99291,0,POINT (-92.974829 43.670395),1,3154
COBORNS INC,MN,MELROSE,0,0,1160,POINT (-94.810193 45.674889),1,1552
ALLINA HEALTH SYSTEM,MN,RAMSEY,3865,542,0,POINT (-93.416707 45.24851),1,3139
FAIRVIEW HEALTH SERVIC,MN,PRINCETON,36607,228781,0,POINT (-93.585366 45.572662),1,1457
FAIRVIEW PHARMACY SERV,MN,PRIOR LAKE,0,0,280,POINT (-93.424415 44.713682),1,1511
FAIRVIEW CLINICS,MN,PRIOR LAKE,496,0,40,POINT (-93.424415 44.713682),1,1511
ST GABRIELS HOSPITAL,MN,RANDALL,86,0,0,POINT (-94.504502 46.093051),1,1458
FAIRVIEW EXPRESS CARE,MN,PRINCETON,0,1649,0,POINT (-93.585366 45.572662),1,1457
CARE CLINIC,MN,RED WING,200,0,23531,POINT (-92.534205 44.566664),1,1405
FAIRVIEW PHARMACY SERV,MN,PRINCETON,0,0,280,POINT (-93.585366 45.572662),1,1457
THRIFTY DRUG STORES IN,MN,RED LAKE FALLS,0,0,40,POINT (-96.274141 47.881234),1,387
ESSENTIA HEALTH DULUTH,MN,PROCTOR,45,0,0,POINT (-92.223596 46.747006),1,389
ABBOTT NORTHWESTERN HO,MN,RAMSEY,202,139,0,POINT (-93.416707 45.24851),1,3139
FAIRVIEW LIFELINE,MN,PRINCETON,26279,2196,0,POINT (-93.585366 45.572662),1,1457
SINGLETON ASSOCIATES P,TX,LAKE JACKSON,29,76,0,POINT (-95.448867 29.036192),23,3060
CHRISTUS PHYSICIAN GRO,TX,BOERNE,115,0,0,POINT (-98.734923 29.802767),23,2081
LANDRUM DRUG INC,MO,MOUNT VERNON,0,0,2175,POINT (-93.819033 37.101302),18,528
406 RX PLLC,MT,ROUNDUP,0,0,440,POINT (-108.541907 46.448821),2,441
BMA BURLINGTON,NC,AYDEN,0,0,80,POINT (-77.417641 35.471115),37,2439
HALSEY DUG LLC,NC,BOONE,560,0,9165,POINT (-81.669431 36.20401),37,2330
ISLAND PHARMACY INC,NC,MANTEO,0,0,10760,POINT (-75.67599 35.908767),,639
INPATIENT CONSULTANTS,NC,MONROE,0,704,0,POINT (-80.565444 35.073428),37,551
NOVANT HEALTH FORSYTH,NC,PFAFFTOWN,159,727,0,,,
COOPER PHYSICAL MEDICI,NJ,CAMDEN,0,370,0,POINT (-75.118833 39.945208),46,2448
QHR PHARMACY 1 LLC,NV,LAS VEGAS,0,0,2640,POINT (-115.140597 36.169202),10,480
NORTH SHORE LIJ,NY,BROOKLYN,0,43,0,POINT (-73.990996 40.692529),,2090
WZ PREMIUM INC,NY,BROOKLYN,2200,0,2961,POINT (-73.990996 40.692529),,2090
THE GREATER HUDSON VAL,NY,CORNWALL,233,0,0,,,
KINNEY DRUGS,NY,POTSDAM,0,0,66,POINT (-74.984933 44.668662),47,2140
CENTRAL OHIO PRIMARY C,OH,MARYSVILLE,403,346,40,POINT (-83.366932 40.236413),38,599
OSU INTERNAL MEDICINE,OH,MARYSVILLE,0,13714,0,POINT (-83.366932 40.236413),38,599
DEVOLA VOLUNTEER FIRE,OH,MARIETTA,0,1081,0,POINT (-81.45731 39.419998),38,2665
GIANT EAGLE INC TAMARK,OH,MASSILLON,280,0,5410,POINT (-81.522001 40.7968),38,2626
MOBILITY HEALTH LLC,OH,MASON,515,40026,0,POINT (-84.309108 39.360251),38,600
SAMARITAN REGIONAL HEA,OH,MANSFIELD,793,357,0,POINT (-82.515469 40.758553),38,2622
MARIETTA MEMORIAL HOSP,OH,MARIETTA,432082,807426,40,POINT (-81.45731 39.419998),38,2665
PONCA CITY MEDICAL CEN,OK,BELFAST,25,0,0,,,
MAX CATES MD,OK,OKLAHOMA CITY,0,0,566,POINT (-97.521264 35.468494),20,712
MILLER DRUG,OK,YUKON,440,0,2899,POINT (-97.750528 35.507932),20,2674
LEGACY CLINICS,OR,CANBY,48,0,0,POINT (-122.692129 45.262264),12,2317
AARNA RX LLC,SC,MAULDIN,0,0,6161,POINT (-82.29695 34.784057),33,654
CLARKSVILLE PHYSICIAN,TN,DOVER,136,0,0,POINT (-87.838341 36.487879),39,2113
DEBERRY DRUGS,TN,SELMER,0,0,11215,POINT (-88.59223 35.170067),39,2057
HENNACARE LLC,TX,GARLAND,8096,0,0,POINT (-96.636564 32.914343),23,3162
TAHA PHARMACY,TX,HOUSTON,0,0,1400,POINT (-95.369506 29.760803),23,2024
APTEEK RX,TX,MCKINNEY,960,0,1760,POINT (-96.615024 33.197963),23,3110
UTMB FACULTY GROUP PRA,TX,PASADENA,0,0,3120,POINT (-95.193333 29.693379),23,2024
KISHAN CHAND,TX,VICTORIA,0,912,0,POINT (-97.006062 28.799192),23,2929
SHERN DRUG INC,UT,LEHI,0,0,16577,POINT (-111.849167 40.387876),13,3182
ONSITE CARE INC,UT,LEHI,1250,345,0,POINT (-111.849167 40.387876),13,3182
PREMIER FAMILY MEDICAL,UT,LINDON,2033,656,0,POINT (-111.723086 40.344688),13,3182
PHYSICIAN GROUP OF UTA,UT,LEHI,0,6209,0,POINT (-111.849167 40.387876),13,3182
JORDAN VALLEY MEDICAL,UT,LEHI,221294,665564,0,POINT (-111.849167 40.387876),13,3182
TAYLOR DRUG OF LINDON,UT,LINDON,480,0,11937,POINT (-111.723086 40.344688),13,3182
PREMIER FAMILY MEDICAL,UT,LEHI,2000,874,3440,POINT (-111.849167 40.387876),13,3182
INTERMOUNTAIN HEALTHCA,UT,LEHI,0,51,40,POINT (-111.849167 40.387876),13,3182
BEAR LAKE COMMUNITY HE,UT,LOGAN,161,0,0,POINT (-111.834857 41.735211),13,2986
FOOTHILL FAMILY CLINIC,UT,SALT LAKE CITY,17513,404,2960,POINT (-111.888142 40.758478),13,3176
CHRISTOPHER J EVERETT,TX,LIVE OAK,216,50471,0,POINT (-98.339712 29.556564),23,3027
AIR EVAC EMS INC,TX,PEARSALL,0,192285,0,POINT (-99.097074 28.889431),23,846
AURORA PHARMACY INC,WI,SHEBOYGAN,0,0,280,POINT (-87.712907 43.75088),41,3070
SOUTH TEXAS PATHOLOGY,TX,NEW BRAUNFELS,0,275,0,POINT (-98.119725 29.709884),23,3112
FAMILY MEDICINE ASSOCI,TX,LA JOYA,14440,195,2760,POINT (-98.479623 26.247146),23,2028
NURSE PRACTITIONER PRO,TX,HOUSTON,1124,0,12865,POINT (-95.369506 29.760803),23,2024
LIFELINE URGENT CARE,TX,KATY,216606,34443,0,POINT (-95.816531 29.794857),23,2024
PRIVIA MEDICAL GROUP,VA,MC LEAN,226,66,0,POINT (-77.183779 38.937593),40,2770
JASON MARTIN MED CONSU,TX,AUSTIN,0,1597,0,POINT (-97.746598 30.264979),23,2924
INTERMOUNTAIN HEALTHCA,UT,TAYLORSVILLE,207,609,400,POINT (-111.955295 40.653066),13,3176
CASCADE MEDICAL CENTER,WA,LEAVENWORTH,0,80905,506,POINT (-120.66766 47.592797),6,2956
AURORA QUICK CARE LLC,WI,PORT WASHINGTON,75,0,0,POINT (-87.875892 43.387419),41,3033
SEA MAR COMMUNITY HEAL,WA,TACOMA,35455,8075,0,POINT (-122.44153 47.25308),,3210
PREFERRED RX PHARMACY,WA,VANCOUVER,0,0,4387,POINT (-122.671567 45.631061),12,2977
EAGLE LAKE DRUGSTORE,TX,EAGLE LAKE,120,0,22049,POINT (-96.334455 29.588863),23,3111
BON SECOURS MEDICAL GR,VA,PORTSMOUTH,0,6462,0,POINT (-76.297735 36.833873),40,936
TOPCARE MEDICAL GROUP,TX,FORT WORTH,71208,11961,12897,POINT (-97.340038 32.739977),23,2919
PIONEER PHAMILY PHARMA,TX,ARLINGTON,0,0,3756,POINT (-97.10711 32.735594),23,2919
