date;country;gdp;series_code
01/01/1990;Australia;158051.132;NYGDPMKTPSAKD
01/04/1990;Australia;158263.582;NYGDPMKTPSAKD
01/07/1990;Australia;157329.279;NYGDPMKTPSAKD
01/09/1990;Australia;158240.678;NYGDPMKTPSAKD
01/01/1991;Australia;156195.954;NYGDPMKTPSAKD
01/04/1991;Australia;155989.033;NYGDPMKTPSAKD
01/07/1991;Australia;156635.858;NYGDPMKTPSAKD
01/09/1991;Australia;156744.057;NYGDPMKTPSAKD
01/01/1992;Australia;157916.081;NYGDPMKTPSAKD
01/04/1992;Australia;159047.827;NYGDPMKTPSAKD
01/07/1992;Australia;160658.176;NYGDPMKTPSAKD
01/09/1992;Australia;163960.221;NYGDPMKTPSAKD
01/01/1993;Australia;165097.495;NYGDPMKTPSAKD
01/04/1993;Australia;166027.059;NYGDPMKTPSAKD
01/07/1993;Australia;166203.179;NYGDPMKTPSAKD
01/09/1993;Australia;169279.348;NYGDPMKTPSAKD
01/01/1990;Sweden;79837.846;NYGDPMKTPSAKD
01/04/1990;Sweden;80582.286;NYGDPMKTPSAKD
01/07/1990;Sweden;79974.36;NYGDPMKTPSAKD
01/09/1990;Sweden;80106.497;NYGDPMKTPSAKD
01/01/1991;Sweden;79524.242;NYGDPMKTPSAKD
01/04/1991;Sweden;79073.059;NYGDPMKTPSAKD
01/07/1991;Sweden;79084.77;NYGDPMKTPSAKD
01/09/1991;Sweden;79740.606;NYGDPMKTPSAKD
01/01/1992;Sweden;79390.922;NYGDPMKTPSAKD
01/04/1992;Sweden;79060.283;NYGDPMKTPSAKD
01/07/1992;Sweden;78904.605;NYGDPMKTPSAKD
01/09/1992;Sweden;76996.837;NYGDPMKTPSAKD
01/01/1993;Sweden;75783.588;NYGDPMKTPSAKD
01/04/1993;Sweden;76708.548;NYGDPMKTPSAKD
01/07/1993;Sweden;77662.018;NYGDPMKTPSAKD
01/09/1993;Sweden;77703.304;NYGDPMKTPSAKD
